TF	target
CDK8	HOXA7
CDK8	RNU6-456P
CDK8	FBXW5
CDK8	SLC20A1
CDK8	PRX
CDK8	GYLTL1B
CDK8	RP11-68I3.7
CDK8	MIR4444-1
CDK8	AKAP12
CDK8	CIC
CDK8	WWC2
CDK8	TMCC2
CDK9	ATP2C1
CDK9	RP11-474I11.7
CDK9	CTD-2140B24.4
CDK9	AMPD2
CDK9	LRRN1
CDK9	TUBGCP6
CDK9	GSDMD
CDK9	C9orf3
CDK9	PKP2
CDK9	RP11-324I22.4
CDK9	HSD11B2
CDK9	TMEM88B
CDK9	TTC9C
CDK9	DNAJB13
CDK9	NFE2L3
CDK9	SMCR2
CDK9	AP000442.1
CDK9	RPL23P2
CDK9	PLA2G12AP1
CDK9	DUSP2
CDK9	PKDCC
CDK9	BOLA3
CDK9	GLYR1
CDK9	NOSIP
CDK9	RP11-77H9.6
CDK9	ARNT
CDK9	RABEP1
CDK9	RAB11FIP3
CDK9	LIN54
CDK9	MIR193B
CDK9	ACTB
CDK9	PTMA
CDK9	TBC1D7
CDK9	ANKRD33
CDK9	LA16c-360H6.3
CDK9	DYNC1LI1
CDK9	ELOVL7
CDK9	C1orf109
CDK9	KIAA1467
CDK9	SEC13P1
CDK9	AP1G2
CDK9	RP11-388C12.1
CDK9	GABPB1-AS1
CDK9	SUCLA2-AS1
CDK9	CDCA4
CDK9	POU2F1
CDK9	CIDECP
CDK9	MAST4
CDK9	CCDC62
CDK9	RP11-95P2.3
CDK9	ZNF524
CDK9	LMBR1
CDK9	PPIEL
CDK9	BCR
CDK9	FAM110A
CDK9	GCNT1
CDK9	LYSMD2
CDK9	SLC16A11
CDK9	RP11-649E7.5
CDK9	SDHAP3
CDK9	RP11-166B2.1
CDK9	RASSF5
CDK9	MAPKAP1
CDK9	CYB561
CDK9	RP11-649G15.2
CDK9	IL1RAP
CDK9	DKK1
CDK9	RP11-723O4.3
CDK9	RP4-597N16.4
CDK9	INPP5D
CDK9	PERP
CDK9	FAM76A
CDK9	DNAJC13
CDK9	RP11-302M6.4
CDK9	ATXN1L
CDK9	ZDBF2
CDK9	KIAA1522
CDK9	IL6R
CDK9	RP11-12J10.4
CDK9	PPP1CC
CDK9	CENPM
CDK9	CLHC1
CDK9	COPE
CDK9	CTD-2410N18.3
CDK9	CSNK2B
CDK9	CIRBP-AS1
CDK9	PDCD11
CDK9	SLC16A2
CDK9	RP5-1057I20.4
CDK9	HMHA1
CDK9	MIR146B
CDK9	RP13-122B23.8
CDK9	CTD-2201E18.3
CDK9	MTHFS
CDK9	CD55
CDK9	WASF1
CDK9	RP11-474P2.7
CDK9	RP11-762H8.4
CDK9	PPP3CC
CDK9	BAZ2B
CDK9	RNF24
CDK9	RP5-1050D4.5
CDK9	RP11-245D16.4
CDK9	RP11-196G11.4
CDK9	DNAJB9
CDK9	FBXO43
CDK9	GSK3B
CDK9	RASAL2-AS1
CDK9	KIF5B
CDK9	LSM5
CDK9	RN7SKP78
CDK9	DOCK5
CDK9	TMEM121
CDK9	TWF2
CDK9	LINC00881
CDK9	CALU
CDK9	CCDC153
CDK9	RP11-313P13.5
CDX2	RP11-112L6.2
CEBPA	MIR28
CEBPA	ADAMTS7P4
CEBPA	APOC2
CEBPA	RP11-521C20.2
CEBPA	HSPD1
CEBPA	CTD-2256P15.2
CEBPA	RN7SKP259
CEBPA	EPS8L1
CEBPA	RP5-919F19.5
CEBPA	GAB1
CEBPA	DPF3
CEBPA	NCOA7
CEBPA	RP11-266L9.3
CEBPA	POLR1A
CEBPA	AC002511.2
CEBPA	RP11-65L3.1
CEBPA	IFIT1
CEBPA	FBXO41
CEBPA	RP3-455J7.3
CEBPA	RP11-179G5.1
CEBPA	LMTK2
CEBPA	SERINC5
CEBPA	PDHA1
CEBPA	RP5-1054A22.4
CEBPA	LDLRAD3
CEBPA	AC003104.1
CEBPA	MICU2
CEBPA	RP11-838N2.8
CEBPA	CYP2T2P
CEBPA	PIAS4
CEBPA	RP4-622L5.2
CEBPA	CTD-2562J15.6
CEBPA	MOGS
CEBPA	ZNF57
CEBPA	VHL
CEBPA	AC006946.12
CEBPA	RNU4-28P
CEBPA	RP11-316E14.2
CEBPA	HIF1A
CEBPA	DIRAS3
CEBPA	DHRS3
CEBPA	FAM114A1
CEBPA	MIR6881
CEBPA	TTC23
CEBPA	MIR4321
CEBPA	KAT7
CEBPA	MIR638
CEBPA	LETM2
CEBPA	RN7SL783P
CEBPA	RP11-703I16.1
CEBPA	EMC9
CEBPA	POM121
CEBPA	IRF2BPL
CEBPA	LRRC8C
CEBPA	MIR548N
CEBPA	ANAPC7
CEBPA	RN7SL762P
CEBPA	RP4-745E8.2
CEBPA	FABP7
CEBPA	RP11-573G6.6
CEBPA	ZNF697
CEBPA	DPY30
CEBPA	YTHDF2
CEBPA	RP11-315D16.2
CEBPA	MAGEF1
CEBPA	DLEU2
CEBPA	CRIM1
CEBPA	SRSF3
CEBPA	LRFN4
CEBPA	AP2S1
CEBPA	COPG2
CEBPA	DDX10
CEBPA	RNF114
CEBPA	DGUOK
CEBPA	RP11-67L3.4
CEBPA	E2F3-IT1
CEBPA	CSTF1
CEBPA	ASPRV1
CEBPA	CPNE1
CEBPA	TMEM161B
CEBPA	PKP4
CEBPA	RP11-63G10.3
CEBPA	CTD-2531D15.5
CEBPA	CTD-2288O8.1
CEBPA	COL15A1
CEBPA	CDK5PS
CEBPA	LINC01270
CEBPA	MSI2
CEBPA	SLC7A6
CEBPA	TXNP1
CEBPA	VPS45
CEBPA	PTPRJ-AS1
CEBPB	HSPE1P2
CEBPB	SLC29A2
CEBPB	FCF1P5
CEBPB	RPL36A-HNRNPH2
CEBPB	RPL36A
CEBPB	BX322557.13
CEBPB	RP11-140H17.1
CEBPB	AC099344.3
CEBPB	ITGB3
CEBPB	ARF4P2
CEBPB	ETS1
CEBPB	CKAP2P1
CEBPB	HINT1P1
CEBPB	TM4SF18
CEBPB	RP11-520H14.7
CEBPB	RP11-24C3.2
CEBPB	Z69890.1
CEBPB	HIST2H2BF
CEBPB	FAM91A1
CEBPB	LMNB1
CEBPB	RP11-545M17.3
CEBPB	TXNDC15
CEBPB	MLLT10
CEBPB	RBM47
CEBPB	PSMD3
CEBPB	CYP3A7
CEBPB	MRPL32P1
CEBPB	MEX3C
CEBPB	ARFIP1
CEBPB	FILIP1L
CEBPB	FAM207A
CEBPB	FDFT1
CEBPB	ACOX1
CEBPB	RP11-167P22.3
CEBPB	RP11-118B18.2
CEBPB	PORCN
CEBPB	RASSF8-AS1
CEBPB	RP11-469H8.8
CEBPB	RP11-367H5.8
CEBPB	IFIT1B
CEBPB	ST13P6
CEBPB	PTPN21
CEBPB	KRBA2
CEBPB	AC091177.1
CEBPB	ASAP1
CEBPB	CD9
CEBPB	SLC2A3
CEBPB	FOXN3
CEBPB	C12orf43
CEBPB	MRPS6P4
CEBPB	RP11-133N21.12
CEBPB	ADD3
CEBPB	ATP2A2
CEBPB	SNRPB2
CEBPB	SEMA4D
CEBPB	NUDC
CEBPB	C6orf223
CEBPB	PHC2
CEBPB	RNF5
CEBPB	RP11-668G10.2
CEBPB	AC002400.1
CEBPB	RP11-270M14.4
CEBPB	RP11-10K16.1
CEBPB	RP11-334E6.10
CEBPB	GMPS
CEBPB	RP11-730K11.1
CEBPB	BMS1
CEBPB	SNORD4B
CEBPB	ABTB1
CEBPB	CTD-2013N17.7
CEBPB	LINC00886
CEBPB	ASPA
CEBPB	CTB-95B16.1
CEBPB	FGFR4
CEBPB	BCL2
CEBPB	RP11-262A16.1
CEBPB	PTCRA
CEBPB	QRICH1
CEBPB	TMEM39B
CEBPB	RP11-14D22.1
CEBPB	SNRPEP6
CEBPB	GNG8
CEBPB	RP3-438O4.4
CEBPB	SPDEF
CEBPB	KANSL2
CEBPB	RP11-431K24.4
CEBPB	PON1
CEBPB	POLE3
CEBPB	RP11-770E5.2
CEBPB	CTD-2655K5.1
CEBPB	LINC00484
CEBPB	RP11-629O1.2
CEBPB	POU2F1
CEBPB	PPIAP9
CEBPB	ABHD14A
CEBPB	CTA-243E7.4
CEBPB	AP2S1
CEBPB	MCCD1
CEBPB	RP11-138C9.1
CEBPB	DUSP13
CEBPB	RP1-91J24.1
CEBPB	KARSP3
CEBPB	INCENP
CEBPB	TCF12
CEBPB	RP11-346C16.2
CEBPB	OASL
CEBPB	STK35
CEBPB	AC092570.4
CEBPB	AC005786.3
CEBPB	RNU6-682P
CEBPB	MIR378A
CEBPB	RP5-951N9.2
CEBPB	SCARNA13
CEBPB	LINC00877
CEBPB	GPR180
CEBPB	TIMM8BP1
CEBPB	UNKL
CEBPB	RP11-620J15.3
CEBPB	NOD2
CEBPB	G6PC3
CEBPB	BRCA1
CEBPB	OTUD7B
CEBPB	RP13-497K6.1
CEBPB	CDK12
CEBPB	MYO6
CEBPB	TBXA2R
CEBPB	PSORS1C3
CEBPB	IVD
CEBPB	AC074391.1
CEBPB	RP11-736E3.3
CEBPB	ULK1
CEBPB	AURKB
CEBPB	SNED1
CEBPB	NUCB2
CEBPB	RP11-761I4.4
CEBPB	RP1-290I10.5
CEBPB	CTC-232P5.3
CEBPB	RAD21
CEBPB	RP11-311H10.7
CEBPB	TKT
CEBPB	ARHGEF28
CEBPB	ANKRD13A
CEBPB	SNORA60
CEBPB	CLSTN1
CEBPD	EZR
CEBPD	FBRSL1
CEBPD	SLC25A37
CEBPD	STK11
CEBPD	RP11-555M1.3
CEBPD	CYB561
CEBPD	GPAM
CEBPD	RP11-421L21.3
CEBPD	RP11-1072C15.1
CEBPD	RP5-858L17.1
CEBPD	INCENP
CEBPD	NEK8
CEBPD	AC022182.1
CEBPD	UBR4
CEBPD	FLJ31356
CEBPD	LRP10
CEBPD	PPP6R1
CEBPD	ID2-AS1
CEBPD	CMTM6
CEBPD	LINC01433
CEBPD	CNTNAP1
CEBPD	PLTP
CEBPD	SPTAN1
CEBPD	RP11-702H23.4
CEBPD	DPYS
CEBPZ	JUP
CENPA	HIPK1
CHD1	SH3D21
CHD1	TMEM107
CHD1	MDC1-AS1
CHD1	PVT1
CHD1	RAB3A
CHD1	RP11-667K14.14
CHD1	AC093602.1
CHD1	IFT46
CHD1	TBL3
CHD1	RP11-867G23.3
CHD1	DVL2
CHD1	RP11-545M17.3
CHD1	SOCS3
CHD1	CLTA
CHD1	HNRNPUL2-BSCL2
CHD1	MALAT1;
CHD3	LLNLR-260G6.1
CHD4	KIAA1919
CHD7	RP11-1055B8.1
CIITA	ADAMTS4
CLOCK	DCAF8
CLOCK	PHF12
CLOCK	MAP3K11
CLOCK	RP11-498C9.4
CLOCK	MICAL2
CLOCK	FAR1-IT1
CLOCK	APEX1
CLOCK	CREBRF
CLOCK	RP11-2B6.2
CLOCK	EEF1A1
CLOCK	CDK4
CLOCK	DNAJB5
CLOCK	NKIRAS1
CLOCK	SRP9
CREB1	TSTD1
CREB1	FBXL3
CREB1	PEX1
CREB1	FAM96A
CREB1	DNMT3A
CREB1	SLC4A7
CREB1	ATPAF2
CREB1	PKIB
CREB1	TMEM120B
CREB1	MAP3K1
CREB1	PPP1R3E
CREB1	U6
CREB1	RDH5
CREB1	LYSMD4
CREB1	RP11-950C14.7
CREB1	SRXN1
CREB1	STYXL1
CREB1	RP11-244H3.4
CREB1	STX6
CREB1	HDHD1
CREB1	ZNF264
CREB1	RP5-1092A3.4
CREB1	RP11-235E17.6
CREB1	RP11-315D16.2
CREB1	LINC00884
CREB1	DDX23
CREB1	MIR4665
CREB1	TMEM251
CREB1	LINC00339
CREB1	MTOR
CREB1	SSR3
CREB1	TCP11L1
CREB1	SUPT5H
CREB1	UQCRC1
CREB1	MAFG-AS1
CREB1	MMP23A
CREB1	FAM114A1
CREB1	RP11-295D4.3
CREB1	TMEM170A
CREB1	LAMP3
CREB1	CTB-50L17.2
CREB1	RN7SL708P
CREB1	CRNKL1
CREB1	CTD-2530H12.1
CREB1	PTPRM
CREB1	RP11-1055B8.3
CREB1	PDLIM1P4
CREB1	DUS2
CREB1	CTD-2527I21.4
CREB1	RNU6-485P
CREB1	PVRL2
CREB1	PPME1
CREB1	RN7SL200P
CREB1	TMEM160
CREB1	RAD1
CREB1	ENAH
CREB1	RP11-712B9.2
CREB1	THOC6
CREB1	AC083843.2
CREB1	AC092198.1
CREB1	HEYL
CREB1	ZNF668
CREB1	CTA-342B11.1
CREB1	YIF1B
CREB1	RP11-1072A3.4
CREB1	RNY1P6
CREB1	NEAT1_3
CREB1	METTL22
CREB1	SLC25A46
CREB1	LYRM4
CREB1	SMYD5
CREB1	KAT2A
CREB1	COMP
CREB1	TMEM138
CREB1	TTC23L
CREB1	MESTIT1
CREB1	CTD-2020K17.3
CREB1	GAL3ST3
CREB1	RNF208
CREB1	ZBTB24
CREB1	CTB-35F21.4
CREB1	WNT2B
CREB1	RP11-154D17.1
CREB1	PTPN4
CREB1	API5
CREB1	HLA-F
CREB1	CD4
CREB1	AL133493.2
CREB1	CTD-2213F21.3
CREB1	AC004221.2
CREB1	SEC11C
CREB1	MGAT4A
CREB1	PSMA5
CREB1	CTC-281F24.1
CREB1	CASP8
CREB1	ADAD2
CREB1	ZNF709
CREB1	STK19
CREB1	SDC4
CREB1	AP001630.5
CREB1	FEZF1
CREB1	RP11-83B20.5
CREB1	RP11-255M2.3
CREB1	RP5-1039K5.17
CREB1	RP11-103J8.1
CREB1	BECN1
CREB1	WDR24
CREB1	SYCP2L
CREB1	TNPO2
CREB1	SNORD91A
CREB1	IL1R1
CREB1	RP11-295D4.4
CREB1	PKN2
CREB1	ARSI
CREB1	SLC25A6
CREB1	TADA2B
CREB1	RP11-4M23.4
CREB1	FBXL14
CREB1	ALDH1L1-AS2
CREB1	IDH1-AS1
CREB1	RP11-464F9.1
CREB1	ACTN4
CREB1	SLC35C2
CREB1	CDC45
CREB1	FGF11
CREB1	MIR3196
CREB1	RP11-973D8.4
CREB1	THEM6
CREB1	ARMC6
CREB1	GRAMD3
CREB1	ARFGEF1
CREB1	AC022210.2
CREB1	CTD-2619J13.27
CREB3	YOD1
CREBBP	RP11-231D20.2
CREBBP	NPLOC4
CREBBP	U1
CREBBP	LDLRAD4
CREBBP	RP11-154J22.1
CREBBP	LPXN
CREBBP	SPAG7
CREBBP	CDC37
CREBBP	RP1-140A9.1
CREBBP	MAG
CREBBP	AC034220.3
CREBBP	MED28P1
CREBBP	MIR135A1
CREBBP	CTD-2616J11.10
CREBBP	PPP3CA
CREBBP	VAT1
CREBBP	ATAD1
CREBBP	C9orf173
CREBBP	RP11-727F15.11
CREBBP	MTHFD1L
CREBBP	TSC22D3
CREBBP	RAPGEFL1
CREBBP	TMEM209
CREBBP	SUMO2
CREBBP	DAAM1
CREBBP	PHF5A
CREBBP	PASK
CREBBP	ARL3
CREBBP	GALNT3
CREBBP	MIR6737
CREBBP	OSER1-AS1
CREBBP	NFYC
CREBBP	RP11-77I22.2
CREBBP	AC008592.5
CREBBP	RP11-155D18.12
CREBBP	WBP2
CREBBP	TM7SF3
CREBBP	RNU1-1
CREBBP	SUV420H2
CREBBP	RP11-156G14.6
CREBBP	RSRP1
CREBBP	PHIP
CREBBP	TSGA10
CREBBP	ITGAV
CREBBP	HDDC3
CREBBP	LINC01137
CREBBP	RP11-783K16.5
CREBBP	IFITM1
CREBBP	GGA3
CREBBP	GABPB1-AS1
CREBBP	FAM129A
CREBBP	BCL2L2-PABPN1
CREBBP	METTL18
CREBBP	MAST4-AS1
CREBBP	DNAJC1
CREBBP	BET1L
CREBBP	KRT18P13
CREBBP	UGDH
CREBBP	SHMT2
CREBBP	SPAG16
CREBBP	RP3-402G11.25
CREBBP	ZMYND10-AS1
CREBBP	CHD8
CREBBP	MYL12A
CREBBP	RP4-633O19__A.1
CREBBP	MB
CREBBP	MIR4672
CREBBP	CDPF1
CREBBP	ARPP19
CREBBP	RP11-564A8.4
CREBBP	GLTSCR1L
CREBBP	ARHGAP19-SLIT1
CREBBP	CTC-301O7.4
CREM	RP4-816N1.6
CTBP2	RP11-195F19.5
CTBP2	RNU6-454P
CTBP2	MAPK8IP1
CTBP2	PCED1B
CTBP2	DIDO1
CTBP2	CRIM1
CTBP2	RNF157
CTBP2	CCSER2
CTBP2	DHRS13
CTBP2	RP11-472M19.2
CTBP2	CXorf65
CTBP2	KREMEN2
CTBP2	AC025166.1
CTBP2	GPR62
CTBP2	C19orf83
CTBP2	CCL27
CTCF	RP1-244F24.1
CTCF	AC104654.1
CTCF	RP1-128O3.5
CTCF	LDLRAP1
CTCF	RP11-439E19.9
CTCF	POLN
CTCF	RP11-792A8.1
CTCF	AC114730.7
CTCF	TCEB1P21
CTCF	ABCA7
CTCF	CCDC69
CTCF	RP4-811H24.9
CTCF	NOX5
CTCF	RP11-276H1.2
CTCF	OASL
CTCF	SH3YL1
CTCF	OAS2
CTCF	RP11-324E6.10
CTCF	RSL24D1P8
CTCF	CTD-2647L4.1
CTCF	PTMAP1
CTCF	ZC3H13
CTCF	COMMD2
CTCF	RP11-601I15.1
CTCF	BEAN1
CTCF	RRP9
CTCF	KIF11
CTCF	CLCN7
CTCF	WASF1
CTCF	NHP2L1
CTCF	CTD-2561B21.5
CTCF	SUGCT
CTCF	GFRA4
CTCF	MIR6737
CTCF	TMEM38A
CTCF	GDF5OS
CTCF	RP11-426A6.5
CTCF	CHST6
CTCF	CFAP74
CTCF	NUTM1
CTCF	SCG5
CTCF	SEC24B-AS1
CTCF	DPP7
CTCF	GSR
CTCF	HERC3
CTCF	RP1-288H2.2
CTCF	CTD-2176I21.2
CTCF	NAGK
CTCF	EIF3KP1
CTCF	STEAP3
CTCF	ACTL7B
CTCF	CTD-2410N18.4
CTCF	RAP1GAP
CTCF	RP11-216L13.18
CTCF	TRBV6-7
CTCF	WARS
CTCF	RPL22
CTCF	HEPN1
CTCF	P2RY2
CTCF	BAHD1
CTCF	PROCA1
CTCF	DTX1
CTCF	RP11-263I1.1
CTCF	SH2D3C
CTCF	POLR3C
CTCF	LDHAL6FP
CTCF	EDC3
CTCF	FGF18
CTCF	ENSA
CTCF	NACAP5
CTCF	ABCD4
CTCF	RP11-119B16.2
CTCF	ATP6V1D
CTCF	RP1-120G22.11
CTCF	MIR3116-2
CTCF	TOMM40L
CTCF	GNAT2
CTCF	CTD-2012K14.2
CTCF	PCSK4
CTCF	KB-1507C5.3
CTCF	DMKN
CTCF	AC110781.3
CTCF	INF2
CTCF	CA14
CTCF	RP5-1022P6.5
CTCF	ARHGEF18
CTCF	PPP1R12B
CTCF	PHACTR1
CTCF	RP11-627K11.1
CTCF	AC010642.2
CTCF	RNU6-6P
CTCF	RP1-292L20.3
CTCF	MIR4326
CTCF	SDHAF1
CTCF	COL26A1
CTCF	PKNOX2
CTCF	RNU2-37P
CTCF	AZU1
CTCF	RP11-338C15.3
CTCF	RP11-231D20.2
CTCF	KIRREL3-AS3
CTCF	FTLP14
CTCF	GATAD1
CTCF	RP11-809H16.3
CTCF	CALY
CTCF	MIR1231
CTCF	HECTD2
CTCF	MRPL54
CTCF	PHLDA2
CTCF	FABP7P2
CTCF	RP11-4M23.2
CTCF	KIAA0040
CTCF	RP11-298I3.3
CTCF	SLC38A10
CTCF	MORN5
CTCF	IER5L
CTCF	U91328.22
CTCF	MAP7
CTCF	AC020743.3
CTCF	OVOL1-AS1
CTCF	MIR4322
CTCF	RNU6-1244P
CTCF	SUPT5H
CTCF	RP4-737E23.6
CTCF	AL357140.1
CTCF	PHF12
CTCF	LINC01024
CTCF	RP11-230C9.2
CTCF	NOL4L
CTCF	BPGM
CTCF	WBSCR27
CTCF	RP11-310H4.1
CTCF	RP11-20D14.4
CTCF	RNU6-196P
CTCF	WDR77
CTCF	PKNOX2-AS1
CTCF	WSB1
CTCF	RP11-33B1.1
CTCF	SLC7A10
CTCF	RHBG
CTCF	TLDC1
CTCF	TRBV12-1
CTCF	AL353803.1
CTCF	EPHB3
CTCF	RP1-28O10.1
CTCF	AP000230.1
CTCF	FARSA-AS1
CTCF	RP1-59D14.1
CTCFL	CTD-2349P21.1
CTCFL	SLC29A3
CTCFL	EVPL
CTCFL	RP11-600F24.7
CTCFL	GPS2
CTCFL	CIART
CTCFL	NAT16
CTCFL	HM13-AS1
CTCFL	PPFIA3
CTCFL	NDUFA4L2
CTCFL	DPP3
CTCFL	ZDHHC16
CTCFL	OSM
CTCFL	MIR4648
CTCFL	DCAF11
CTCFL	RP11-583F2.1
CTCFL	GRB10
CTCFL	AC005197.2
CTCFL	ETFA
CTCFL	ATMIN
CTCFL	OR10AE3P
CTCFL	TNFRSF25
CTCFL	ODF3L1
CTCFL	C14orf80
CTCFL	MIR769
CTCFL	C10orf54
CTCFL	AP003419.11
CTCFL	RP11-20B24.7
CTCFL	EHMT1
CTCFL	DENND4B
CTCFL	C17orf58
CTNNB1	ZBTB38
CUX1	HDHD3
DBP	MUS81
DDX5	SHC1
DDX5	RP11-467K18.2
DDX5	INO80B
DDX5	HSPA1A
DDX5	TMEM120B
DDX5	LINC00624
DDX5	RP11-21A7A.3
DDX5	RP11-229P13.15
DDX5	RP11-343H5.4
DDX5	ANKRD65
DDX5	MIR5189
DDX5	IWS1
DDX5	SLC25A29
DDX5	MLEC
DDX5	GSPT1
DDX5	MAP3K5
DDX5	MINA
DDX5	CLDN9
DDX5	RP11-382A20.6
DDX5	ATXN1L
DDX5	SNORD33
DDX5	FTH1
DDX5	RP11-372E1.7
DDX5	RP11-802E16.3
DDX5	FAM126B
DDX5	RP3-395M20.8
DDX5	CTD-2396E7.11
DDX5	TMEM121
DDX5	AC007386.3
DDX5	MIR6794
DDX5	TMCO3
DDX5	CD14
DDX5	RP3-508I15.21
DDX5	MORN1
DDX5	AL353662.2
DDX5	CDT1
DDX5	RP11-84C10.4
DDX5	DDX39B
DDX5	RN7SL273P
DDX5	RP11-696L21.2
DDX5	AC005514.2
DDX5	NUMA1
DDX5	MIR4722
DDX5	PPP1CB
DDX5	DGKZ
DDX5	KRT18
DDX5	RP11-152H18.4
DDX5	CMAHP
DDX5	RPL37P1
DDX5	PGAP2
DDX5	TRMT112
DDX5	AC010646.3
DLX2	GDE1
DLX4	REEP4
DMRT1	TCEB2
DUX4	AP000355.2
DUX4	STIM2
DUX4	SAMD4A
DUX4	MIR6885
DUX4	AC007880.1
DUX4	RNU6-395P
DUX4	EXOSC8
DUX4	SERPINE2
DUX4	CA11
E2F1	RP11-778D9.4
E2F1	CC2D1A
E2F1	PSMC5
E2F1	MIR16-2
E2F1	SHC1
E2F1	RABGAP1L
E2F1	SEL1L
E2F1	SEC1P
E2F1	TBX6
E2F1	MLST8
E2F1	ZNF346
E2F1	NXT1
E2F1	SUFU
E2F1	NIFK-AS1
E2F1	LINC00472
E2F1	VMP1
E2F1	PER1
E2F1	MT1XP1
E2F1	MT-TM
E2F1	MSMO1
E2F1	MARK2
E2F1	RP11-447L10.1
E2F1	DEF8
E2F1	ATP2C1
E2F1	LINC00933
E2F1	RPPH1
E2F1	TMEM237
E2F1	VCPKMT
E2F1	ZFYVE28
E2F1	RP11-95P2.3
E2F1	ZNF790
E2F1	AGRN
E2F1	PXT1
E2F1	GSPT1
E2F1	ASAP3
E2F1	RP11-4M23.4
E2F1	DPPA2P2
E2F1	SLC25A25
E2F1	CDKN1A
E2F1	ORC2
E2F1	AGGF1
E2F1	RNF44
E2F1	RP11-783K16.13
E2F1	TMSB10
E2F1	NMT1
E2F1	MND1
E2F1	ADIPOR2
E2F1	LINC01058
E2F1	SUGT1
E2F1	SCN1B
E2F1	RP4-753F5.1
E2F1	INAFM1
E2F1	TMEM200B
E2F1	ABCA1
E2F1	TTC21B
E2F1	MEF2BNB-MEF2B
E2F1	SEH1L
E2F1	SEMA4D
E2F1	MT-TS2
E2F1	RNU7-167P
E2F1	IZUMO4
E2F1	LA16c-380A1.2
E2F1	DOK1
E2F1	TMEM242
E2F1	TRIP10
E2F1	RP11-178C3.2
E2F1	WDR27
E2F1	CRYM-AS1
E2F1	SMPD3
E2F1	SELO
E2F1	CNBP
E2F1	TXNDC12-AS1
E2F1	ALG9
E2F1	MIR449C
E2F1	ZNF518A
E2F1	NEDD4L
E2F1	TFPT
E2F1	C19orf67
E2F1	CCDC57
E2F1	ARPC2
E2F1	ZFP69
E2F1	RP11-1020A11.2
E2F1	AC012307.2
E2F1	MEF2D
E2F1	AC007292.6
E2F1	URB1-AS1
E2F1	MRPL46
E2F1	NUSAP1
E2F1	RP11-115C21.2
E2F1	NKIRAS1
E2F1	GLS
E2F1	RANBP1
E2F1	BTBD1
E2F1	FAM222A
E2F1	KLF10
E2F1	AC092117.2
E2F1	RP11-196G11.4
E2F1	WDR60
E2F1	TYSND1
E2F1	CDC123
E2F2	ASB9P1
E2F2	SLC25A45
E2F2	ALDH3A2
E2F3	PRELID1
E2F3	HEXIM1
E2F3	RP5-908M14.10
E2F3	MIR181D
E2F3	PACSIN2
E2F3	TRIM56
E2F3	RP11-539L10.2
E2F3	RNU6-362P
E2F3	PWWP2A
E2F3	PDF
E2F4	PRSS8
E2F4	ATAD3B
E2F4	ACTL6B
E2F4	NOVA2
E2F4	U12
E2F4	LDLR
E2F6	FAM98C
E2F6	EEF1G
E2F6	PRAM1
E2F6	RP11-50B3.2
E2F6	RP11-449P15.1
E2F6	ZNF646
E2F6	POU5F1
E2F6	MIR185
E2F6	CSF1
E2F6	MCC
E2F6	KEAP1
E2F6	RNU2-52P
E2F6	CTB-184G21.3
E2F6	AFG3L1P
E2F6	RNA5SP130
E2F6	PA2G4P4
E2F6	FGD4
E2F6	MIR6879
E2F6	AC007365.3
E2F6	ASCL5
E2F6	MIR559
E2F6	ALPL
E2F6	MTHFR
E2F6	CTD-2562J15.6
E2F6	RP11-11M20.2
E2F6	UCHL5
E2F6	SCUBE3
E2F6	ASGR1
E2F6	DHRS11
E2F6	NELFE
E2F6	SOCS3
E2F6	AC093110.1
E2F6	RN7SL596P
E2F6	AP006477.1
E2F6	TPD52L2
E2F6	RP11-77H9.5
E2F6	ACAD8
E2F6	CTD-3252C9.4
E2F6	ASXL2
E2F6	RP1-182D15.2
E2F6	KIFC1
E2F6	RP11-71E19.1
E2F6	CTC-398G3.1
E2F6	SRP72P1
E2F6	FRMD8
E2F6	COX6CP12
E2F6	SPATC1L
E2F6	TBC1D26
E2F6	XXbac-B444P24.10
E2F6	GRHL1
E2F6	ADRBK1
E2F6	WDR4
E2F6	EOGT
E2F6	RP11-677M14.6
E2F6	RP11-54O7.17
E2F6	FGFR1
E2F6	RP11-501C14.5
E2F6	RN7SL657P
E2F6	CTD-2587H24.10
E2F6	TMEM253
E2F6	CCDC136
E2F6	TSC22D2
E2F6	PTK2B
E2F6	RN7SL566P
E2F6	RP5-1066H13.4
E2F6	RNA5SP230
E2F6	PPIHP1
E2F6	TCEB1P2
E2F6	RASAL2-AS1
E2F6	LINC00982
E2F6	HTRA4
E2F6	WBP2NL
E2F6	RP11-1055B8.8
E2F6	AP000437.3
E2F6	PLA2G4B
E2F6	USP5
E2F6	RN7SKP280
E2F6	RP4-803A2.1
E2F6	PAQR7
E2F6	PTPLAD1
E2F6	HILPDA
E2F6	NF2
E2F6	MALAT1
E2F6	AGTRAP
E2F6	ADAT3
E2F6	C9orf172
E2F6	RP11-300M6.1
E2F6	CD68
E2F6	NFU1
E2F6	ARL16
E2F6	CTD-2527I21.9
E2F6	FABP6
E2F6	FADS2
E2F6	RBM38
E2F6	PITPNA
E2F6	SLC35E1
E2F6	RP11-96C23.15
E2F6	RGMA
E2F6	RNU6-1137P
E2F6	LRRC73
E2F6	CS
E2F6	MIR7114
E2F7	LMCD1
E2F7	RP1-101K10.6
E2F7	MBOAT7
E2F7	CYP1B1-AS1
E2F7	DEPDC1B
E2F7	AC090587.4
E2F7	RP1-59D14.1
