TF	target
ASCL2	CTD-2527I21.7
ASCL2	ESYT1
ASCL2	PITPNA
ASCL2	AP002954.6
ATF1	SWI5
ATF1	HIST1H2AG
ATF1	NPW
ATF1	PSMB9
ATF1	AC005540.3
ATF1	RP11-314A20.1
ATF1	QARS
ATF1	LRBA
ATF1	AP2B1
ATF1	U91328.22
ATF1	FCRLB
ATF1	ANXA4
ATF1	ZNF197
ATF1	USP2
ATF1	IFT140
ATF1	RP11-459E5.1
ATF1	ZNF34
ATF1	RP11-751K21.1
ATF1	RP11-276E17.2
ATF1	C1orf109
ATF1	CP
ATF1	SAP30BP
ATF1	PLEKHB2
ATF1	YTHDC2
ATF2	RAD9B
ATF2	XXbac-BPG294E21.9
ATF2	RP11-895M11.3
ATF2	RP11-54O7.17
ATF2	RP11-414H17.2
ATF2	VPS33B
ATF2	RP11-864I4.4
ATF2	SLC35A4
ATF2	EPT1
ATF2	AP000662.4
ATF2	LMCD1
ATF2	CTD-2651B20.1
ATF2	GRIPAP1
ATF2	BTAF1
ATF2	ITGAE
ATF2	RP11-549L6.3
ATF2	INPP5A
ATF2	PRPF39
ATF2	SLC39A1
ATF2	RNU6-919P
ATF2	RP11-758P17.3
ATF3	KIF13A
ATF3	MPDU1
ATF3	TIMM21
ATF3	SNAP25-AS1
ATF3	CBY3
ATF3	RP11-395B7.4
ATF3	PNKD
ATF3	MIR4287
ATF3	RP11-477N3.1
ATF3	LDB2
ATF3	BX322557.13
ATF3	APOBEC3B
ATF3	MAP1B
ATF3	ERCC5
ATF3	KB-1615E4.3
ATF3	RP11-789L4.1
ATF3	PKD1L2
ATF3	RAB8A
ATF3	NNT-AS1
ATF3	MIR4488
ATF3	RNU6-1152P
ATF3	MIR3193
ATF3	STMN1
ATF3	RP11-226M10.3
ATF3	ARL5C
ATF3	RP11-45P15.4
ATF3	MYADML2
ATF3	MRPS15
ATF3	NRTN
ATF3	ANKRD12
ATF3	PCDHGC3
ATF3	OLFML2A
ATF3	ZFPM2
ATF3	POLH
ATF3	C20orf194
ATF3	SYMPK
ATF3	NPRL2
ATF3	MIR570
ATF3	TTC12
ATF3	SLC39A1
ATF3	NNMT
ATF3	RP11-386G11.10
ATF3	GLS
ATF3	RNU4-1
ATF3	ARRDC3
ATF3	CTB-161M19.4
ATF3	GCK
ATF3	CTD-2026K11.3
ATF3	RP11-483I13.6
ATF3	PPWD1
ATF3	LIAS
ATF3	PALLD
ATF3	RP11-474G23.3
ATF3	DOLPP1
ATF3	NEIL2
ATF3	TCEB1
ATF3	AC016629.7
ATF3	DST
ATF3	EEF1B2
ATF3	PLEKHA3
ATF3	GPR111
ATF3	RP11-368I7.4
ATF3	RP11-58O9.2
ATF3	AC073130.1
ATF3	RTFDC1
ATF3	CDKAL1
ATF3	TMEM86B
ATF3	CNBP
ATF3	MLST8
ATF3	CTB-58E17.5
ATF3	ASPSCR1
ATF3	THUMPD1
ATF3	PLEKHA6
ATF3	RP11-757G14.1
ATF3	KDM4B
ATF3	AC073130.3
ATF3	MIAT
ATF3	GPR133
ATF3	SH3GL1
ATF3	RPL23A
ATF3	RP11-459F6.3
ATF3	EIF4EBP3
ATF3	CTD-2410N18.4
ATF3	TCIRG1
ATF3	CSDC2
ATF3	RP11-101E3.5
ATF3	KCNJ2-AS1
ATF5	MLEC
ATF7IP	CTD-2320J21.1
ATOH1	NPRL2
ATRX	NOC4L
BACH1	MFSD12
BACH1	CLK3
BACH1	RP5-837J1.1
BACH2	RBM47
BACH2	ISG20
BACH2	CEACAM21
BACH2	SEC24D
BACH2	ASPSCR1
BACH2	RP11-252E2.1
BACH2	RP11-540A21.2
BACH2	ANKRD23
BACH2	CCNC
BACH2	SNRPCP2
BACH2	TMED5
BACH2	RTN4
BARHL1	RBL1
BARX2	FANCG
BARX2	ARID3B
BATF	TOR1AIP2
BATF	C17orf85
BATF	CHMP3
BATF	UQCC1
BATF	ULK4
BATF	MIR155HG
BATF	RP11-338E21.1
BATF	TWSG1
BATF	ARPC2
BCL11A	RP11-802E16.3
BCL11A	RP5-1186P10.2
BCL11A	AC195454.1
BCL11A	ZNF296
BCL11A	SCARB2
BCL11A	TMEM208
BCL11A	NHLRC2
BCL11A	RP11-112J3.15
BCL11A	AC018647.3
BCL11A	STYXL1
BCL11A	SERINC5
BCL11A	AC022210.1
BCL11A	LCK
BCL11A	RP11-864I4.3
BCL11A	ABL1
BCL11A	RN7SL105P
BCL11A	MALAT1
BCL3	RP3-395M20.9
BCL3	MSANTD3
BCL3	AC009052.12
BCL3	TTC9C
BCL3	ST6GALNAC2
BCL3	MPI
BCL3	SNORA21
BCL3	CHRNB1
BCL3	EMILIN1
BCL3	CHMP1B
BCL3	ZSCAN16-AS1
BCL3	CDC42EP2
BCL3	U4
BCL3	SYNGR2
BCL3	PLEC
BCL3	RP13-314C10.5
BCL3	JUP
BCL3	CAPNS1
BCL3	CAV2
BCL3	RNF126
BCL3	SYNPO
BCL3	RP11-566K11.4
BCL3	HSPB9
BCL3	PTK6
BCL3	HNRNPUL2
BCL3	TUBB3
BCL6	MIR4254
BCL6	MIR6513
BCL6	MIR4647
BCL6	MIR661
BCL6	IQGAP3
BCL6	MIR21
BCL6	MYO7B
BCL6	DNMT1
BCL6	SUPT4H1
BCL6	BTG2
BCL6	RP11-474P2.7
BCL6	GNAI2
BCL6	LPIN1
BCL6	MAP7D1
BCL6	RP13-766D20.2
BCL6	SUB1
BCL6	SYCE3
BCL6	TIMM22
BCL6	C5orf56
BCL6	ARID5A
BCL6	RP11-165D7.5
BCL6	ADD3
BCL6	ANKRD52
BCL6	ARHGAP33
BCOR	U47924.29
BCOR	UHRF1BP1
BCOR	RP11-95P2.1
BCOR	RPL13P5
BCOR	KANTR
BCOR	AC090587.4
BCOR	ZMIZ1-AS1
BCOR	TUBB8P1
BCOR	MXD3
BCOR	GPAM
BCOR	LINC01135
BCOR	RP13-93L13.1
BCOR	MIR29B1
